City,State,Provider_number,Distinct_Referral_Pairs,Referral_Volume,Total_Num_Referral_Triples_sum
ASHLAND,ALABAMA,5,36,34355,36
ASHLAND,KANSAS,2,4,1131,4
ASHLAND,KENTUCKY,283,14274,3683575,14274
ASHLAND,MASSACHUSETTS,2,2,383,2
ASHLAND,MISSISSIPPI,4,10,13961,10
ASHLAND,MISSOURI,4,5,2867,5
ASHLAND,MONTANA,1,1,1430,1
ASHLAND,OHIO,59,899,295767,899
ASHLAND,OREGON,83,418,116222,418
ASHLAND,PENNSYLVANIA,9,29,22090,29
ASHLAND,VIRGINIA,9,28,4088,28
ASHLAND,WISCONSIN,60,786,158208,786
ASHLAND CITY,TENNESSEE,7,29,23009,29
ASHLEY,MICHIGAN,3,8,6465,8
ASHLEY,NORTH DAKOTA,3,19,16294,19
ASHTABULA,OHIO,65,1298,542942,1298
ASHVILLE,OHIO,1,1,60,1
ASPEN,COLORADO,37,109,33940,109
ASPERMONT,TEXAS,1,2,4143,2
ASPINWALL,PENNSYLVANIA,4,12,2048,12
ASTON,PENNSYLVANIA,12,28,14284,28
ASTORIA,ILLINOIS,1,1,297,1
ASTORIA,NEW YORK,110,1296,195211,1296
ASTORIA,OREGON,43,464,142308,464
ATASCADERO,CALIFORNIA,10,17,1487,17
ATCHISON,KANSAS,22,183,93295,183
ATHENS,ALABAMA,67,1063,297114,1063
ATHENS,GEORGIA,420,18423,2757544,18423
ATHENS,OHIO,92,1028,180336,1028
ATHENS,PENNSYLVANIA,5,9,2070,9
ATHENS,TENNESSEE,67,1170,293072,1170
ATHENS,TEXAS,62,1489,322450,1489
ATHENS,WEST VIRGINIA,1,1,938,1
ATHERTON,CALIFORNIA,5,7,841,7
ATHOL,MASSACHUSETTS,13,71,22310,71
ATKINS,ARKANSAS,2,4,1994,4
ATKINSON,NEBRASKA,4,22,24694,22
ATLANTA,GEORGIA,3064,85685,11393845,85685
ATLANTA,MICHIGAN,2,3,4154,3
ATLANTA,TEXAS,15,192,117426,192
ATLANTIC,IOWA,30,313,99760,313
ATLANTIC CITY,NEW JERSEY,77,1482,127420,1482
ATLANTIC HIGHLANDS,NEW JERSEY,3,5,2387,5
ATLANTIS,FLORIDA,157,6911,1020687,6911
ATMORE,ALABAMA,14,93,48884,93
ATOKA,OKLAHOMA,7,36,29401,36
ATOKA,TENNESSEE,4,6,766,6
ATTALLA,ALABAMA,3,7,2880,7
